precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
191,6,179,131,46,0,1,1,45009-Colston,37,87,124,6,Jim Clyburn,Democrat,Black,0.65
192,6,2531,420,2040,23,10,38,45009-East Denmark,753,257,1034,6,Jim Clyburn,Democrat,Black,0.65
193,6,344,245,90,0,1,8,45009-Edisto,70,177,247,6,Jim Clyburn,Democrat,Black,0.65
194,6,837,519,287,4,10,17,45009-Ehrhardt,160,305,465,6,Jim Clyburn,Democrat,Black,0.65
195,6,274,180,86,0,5,3,45009-Govan,47,35,82,6,Jim Clyburn,Democrat,Black,0.65
196,6,80,38,40,0,2,0,45009-Hightower's Mill,22,19,41,6,Jim Clyburn,Democrat,Black,0.65
197,6,225,119,93,0,6,7,45009-Hunter's Chapel,61,88,150,6,Jim Clyburn,Democrat,Black,0.65
198,6,142,124,11,0,4,3,45009-Kearse,6,79,85,6,Jim Clyburn,Democrat,Black,0.65
199,6,134,130,4,0,0,0,45009-Little Swamp,9,84,93,6,Jim Clyburn,Democrat,Black,0.65
200,6,2080,1051,946,16,6,61,45009-North Bamberg,629,631,1272,6,Jim Clyburn,Democrat,Black,0.65
201,6,400,281,98,2,11,8,45009-Olar,76,135,215,6,Jim Clyburn,Democrat,Black,0.65
202,6,2182,635,1443,1,30,73,45009-South Bamberg,870,336,1225,6,Jim Clyburn,Democrat,Black,0.65
203,6,1282,265,969,5,18,25,45009-West Denmark,503,141,657,6,Jim Clyburn,Democrat,Black,0.65
204,2,937,387,480,22,21,27,45011-Barnwell 1,215,223,441,2,Joe Wilson,Republican,White,0.6
205,2,1979,1137,712,29,41,60,45011-Barnwell 2,350,681,1047,2,Joe Wilson,Republican,White,0.6
206,2,1685,980,561,25,46,73,45011-Barnwell 3,424,724,1161,2,Joe Wilson,Republican,White,0.6
207,2,1447,549,810,12,28,48,45011-Barnwell 4,499,378,885,2,Joe Wilson,Republican,White,0.6
208,2,1008,350,600,5,20,33,45011-Blackville 1,371,212,592,2,Joe Wilson,Republican,White,0.6
209,2,612,178,414,0,5,15,45011-Blackville 2,236,128,373,2,Joe Wilson,Republican,White,0.6
210,2,531,283,214,0,13,21,45011-Elko,172,236,413,2,Joe Wilson,Republican,White,0.6
211,2,774,708,22,4,18,22,45011-Friendship,33,488,526,2,Joe Wilson,Republican,White,0.6
212,2,967,289,638,2,13,25,45011-Healing Springs,368,151,523,2,Joe Wilson,Republican,White,0.6
213,2,1023,903,89,2,9,20,45011-Hilda,56,614,673,2,Joe Wilson,Republican,White,0.6
214,2,622,347,217,0,32,26,45011-Kline,155,255,415,2,Joe Wilson,Republican,White,0.6
215,2,1278,722,514,9,23,10,45011-Snelling,333,469,812,2,Joe Wilson,Republican,White,0.6
216,2,1431,544,799,3,34,51,45011-Williston 1,499,368,883,2,Joe Wilson,Republican,White,0.6
217,2,636,432,163,1,12,28,45011-Williston 2,118,290,412,2,Joe Wilson,Republican,White,0.6
218,2,1031,609,359,10,24,29,45011-Williston 3,229,371,606,2,Joe Wilson,Republican,White,0.6
219,1,1234,532,571,9,82,40,45013-Beaufort 1,403,219,638,1,Nancy Mace,Republican,White,0.55
220,1,1224,930,173,13,44,64,45013-Beaufort 2,407,380,798,1,Nancy Mace,Republican,White,0.55
221,1,1548,1284,126,16,46,76,45013-Beaufort 3,480,586,1081,1,Nancy Mace,Republican,White,0.55
222,1,1789,1487,96,21,150,35,45013-Belfair 1,321,566,896,1,Nancy Mace,Republican,White,0.55
223,1,544,500,22,9,7,6,45013-Belfair 2,333,565,903,1,Nancy Mace,Republican,White,0.55
224,1,1038,675,65,18,223,57,45013-Bluffton 1A,267,382,654,1,Nancy Mace,Republican,White,0.55
225,1,1283,857,83,12,297,34,45013-Bluffton 1B,240,481,728,1,Nancy Mace,Republican,White,0.55
226,1,1744,1108,87,25,455,69,45013-Bluffton 1C,247,440,691,1,Nancy Mace,Republican,White,0.55
227,1,1137,556,162,11,374,34,45013-Bluffton 1D,194,170,374,1,Nancy Mace,Republican,White,0.55
228,1,1794,1151,125,15,457,46,45013-Bluffton 2A,303,461,777,1,Nancy Mace,Republican,White,0.55
229,1,1724,1089,157,37,367,74,45013-Bluffton 2B,392,501,907,1,Nancy Mace,Republican,White,0.55
230,1,1003,744,66,16,146,31,45013-Bluffton 2C,455,876,1353,1,Nancy Mace,Republican,White,0.55
231,1,873,647,88,6,114,18,45013-Bluffton 2D,217,382,611,1,Nancy Mace,Republican,White,0.55
232,1,2214,857,478,20,796,63,45013-Bluffton 2E,572,434,1019,1,Nancy Mace,Republican,White,0.55
233,1,1112,984,23,9,68,28,45013-Bluffton 3,318,702,1032,1,Nancy Mace,Republican,White,0.55
234,1,1233,1162,25,12,22,12,45013-Bluffton 4A,345,910,1260,1,Nancy Mace,Republican,White,0.55
235,1,1054,878,36,56,62,22,45013-Bluffton 4B,152,441,602,1,Nancy Mace,Republican,White,0.55
236,1,1638,1484,39,15,60,40,45013-Bluffton 4C,368,744,1119,1,Nancy Mace,Republican,White,0.55
237,1,912,773,48,24,45,22,45013-Bluffton 4D,323,621,949,1,Nancy Mace,Republican,White,0.55
238,1,778,652,40,15,53,18,45013-Bluffton 4E,280,460,751,1,Nancy Mace,Republican,White,0.55
239,1,1142,899,61,32,96,54,45013-Bluffton 5A,338,599,949,1,Nancy Mace,Republican,White,0.55
240,1,1438,1074,123,21,153,67,45013-Bluffton 5B,338,521,864,1,Nancy Mace,Republican,White,0.55
241,1,1089,577,174,13,291,34,45013-Bluffton 5C,289,323,616,1,Nancy Mace,Republican,White,0.55
242,1,849,727,13,3,88,18,45013-Bluffton 5D,160,419,587,1,Nancy Mace,Republican,White,0.55
243,1,1651,817,79,19,703,33,45013-Bluffton 5E,279,395,683,1,Nancy Mace,Republican,White,0.55
244,1,1067,894,49,21,65,38,45013-Bluffton 6A,248,483,736,1,Nancy Mace,Republican,White,0.55
245,1,1115,948,49,21,69,28,45013-Bluffton 6B,285,597,887,1,Nancy Mace,Republican,White,0.55
246,1,1948,1536,85,11,247,69,45013-Bluffton 7A,531,872,1415,1,Nancy Mace,Republican,White,0.55
247,1,299,274,9,0,12,4,45013-Buckwalter 1,307,529,844,1,Nancy Mace,Republican,White,0.55
248,1,616,548,10,1,41,16,45013-Buckwalter 2,210,430,644,1,Nancy Mace,Republican,White,0.55
