precinct_id,total,white,black,asian,hispanic,other
840,1696,1160,321,44,96,75
841,930,646,191,13,40,40
842,3613,2231,690,194,293,205
843,2580,1553,630,77,187,133
844,1776,1168,265,99,132,112
845,3249,2254,716,24,125,130
846,924,722,92,10,39,61
847,786,392,356,1,15,22
848,1280,923,243,7,40,67
849,949,859,49,10,8,23
850,2658,2178,241,22,111,106
851,1746,1052,503,21,91,79
852,1581,1100,279,36,89,77
853,1179,697,398,2,32,50
854,1605,1150,323,19,32,81
855,1093,750,255,0,34,54
856,1259,835,351,1,26,46
857,1412,905,326,23,69,89
858,1658,998,429,23,91,117
859,932,540,348,2,7,35
860,779,477,247,3,25,27
861,646,189,426,4,11,16
862,962,414,500,7,11,30
863,705,596,32,9,35,33
864,616,394,142,13,39,28
865,676,527,92,7,23,27
866,1715,1156,338,67,81,73
867,2122,1291,493,123,107,108
868,1666,1208,266,25,73,94
869,2563,707,1002,92,639,123
870,2260,1639,273,66,133,149
871,1044,922,52,11,35,24
872,775,667,51,5,24,28
873,482,347,82,7,24,22
874,1585,799,659,14,56,57
875,4277,2338,1074,268,381,216
876,1406,915,218,123,90,60
877,2133,611,1147,50,215,110
878,1078,625,402,4,22,25
879,1018,535,242,0,51,190
880,1791,624,1068,7,53,39
881,1419,789,579,1,19,31
882,1107,732,301,1,22,51
883,612,500,46,5,24,37
884,1631,1217,180,18,139,77
885,1404,1189,98,9,61,47
886,1369,648,633,6,27,55
887,816,492,263,12,11,38
888,1130,903,131,10,45,41
889,1025,660,204,20,63,78
890,1574,909,436,33,116,80
891,1645,860,582,31,90,82
892,1862,1132,568,15,87,60
893,1054,795,132,29,39,59
894,1196,784,275,20,60,57
895,1047,554,264,83,94,52
896,828,370,324,24,55,55
897,601,252,339,0,4,6
898,3566,1355,1817,9,292,93
899,976,609,330,7,16,14
900,1039,767,207,3,36,26
901,1248,556,624,6,25,37
902,1499,452,746,7,266,28
903,3819,3048,451,16,126,178
904,2655,2158,312,24,64,97
905,448,221,206,0,7,14
906,1669,794,728,5,95,47
907,2229,1028,1041,4,88,68
908,1026,940,27,5,19,35
909,92,31,56,1,2,2
910,405,75,314,0,3,13
911,348,252,65,3,15,13
