precinct_id,district,representative,party,incumbent_race,margin
478,6,Jim Clyburn,Democrat,Black,0.65
479,6,Jim Clyburn,Democrat,Black,0.65
480,1,Nancy Mace,Republican,White,0.55
481,1,Nancy Mace,Republican,White,0.55
482,1,Nancy Mace,Republican,White,0.55
483,1,Nancy Mace,Republican,White,0.55
484,1,Nancy Mace,Republican,White,0.55
485,1,Nancy Mace,Republican,White,0.55
486,1,Nancy Mace,Republican,White,0.55
487,1,Nancy Mace,Republican,White,0.55
488,1,Nancy Mace,Republican,White,0.55
489,1,Nancy Mace,Republican,White,0.55
490,1,Nancy Mace,Republican,White,0.55
491,1,Nancy Mace,Republican,White,0.55
492,1,Nancy Mace,Republican,White,0.55
493,1,Nancy Mace,Republican,White,0.55
494,1,Nancy Mace,Republican,White,0.55
495,1,Nancy Mace,Republican,White,0.55
496,1,Nancy Mace,Republican,White,0.55
497,1,Nancy Mace,Republican,White,0.55
498,1,Nancy Mace,Republican,White,0.55
499,1,Nancy Mace,Republican,White,0.55
500,1,Nancy Mace,Republican,White,0.55
501,1,Nancy Mace,Republican,White,0.55
502,1,Nancy Mace,Republican,White,0.55
503,1,Nancy Mace,Republican,White,0.55
504,1,Nancy Mace,Republican,White,0.55
505,1,Nancy Mace,Republican,White,0.55
506,1,Nancy Mace,Republican,White,0.55
507,1,Nancy Mace,Republican,White,0.55
508,1,Nancy Mace,Republican,White,0.55
509,1,Nancy Mace,Republican,White,0.55
510,1,Nancy Mace,Republican,White,0.55
511,1,Nancy Mace,Republican,White,0.55
512,1,Nancy Mace,Republican,White,0.55
513,6,Jim Clyburn,Democrat,Black,0.65
514,6,Jim Clyburn,Democrat,Black,0.65
515,1,Nancy Mace,Republican,White,0.55
516,1,Nancy Mace,Republican,White,0.55
517,1,Nancy Mace,Republican,White,0.55
518,1,Nancy Mace,Republican,White,0.55
519,1,Nancy Mace,Republican,White,0.55
520,1,Nancy Mace,Republican,White,0.55
521,1,Nancy Mace,Republican,White,0.55
522,1,Nancy Mace,Republican,White,0.55
523,1,Nancy Mace,Republican,White,0.55
524,1,Nancy Mace,Republican,White,0.55
525,1,Nancy Mace,Republican,White,0.55
526,1,Nancy Mace,Republican,White,0.55
527,1,Nancy Mace,Republican,White,0.55
528,1,Nancy Mace,Republican,White,0.55
529,1,Nancy Mace,Republican,White,0.55
530,1,Nancy Mace,Republican,White,0.55
531,1,Nancy Mace,Republican,White,0.55
532,1,Nancy Mace,Republican,White,0.55
533,1,Nancy Mace,Republican,White,0.55
534,1,Nancy Mace,Republican,White,0.55
535,1,Nancy Mace,Republican,White,0.55
536,1,Nancy Mace,Republican,White,0.55
537,1,Nancy Mace,Republican,White,0.55
538,1,Nancy Mace,Republican,White,0.55
539,1,Nancy Mace,Republican,White,0.55
540,1,Nancy Mace,Republican,White,0.55
541,1,Nancy Mace,Republican,White,0.55
542,1,Nancy Mace,Republican,White,0.55
543,1,Nancy Mace,Republican,White,0.55
544,1,Nancy Mace,Republican,White,0.55
545,1,Nancy Mace,Republican,White,0.55
546,1,Nancy Mace,Republican,White,0.55
547,1,Nancy Mace,Republican,White,0.55
548,1,Nancy Mace,Republican,White,0.55
549,1,Nancy Mace,Republican,White,0.55
550,1,Nancy Mace,Republican,White,0.55
551,1,Nancy Mace,Republican,White,0.55
