precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
106,Oregon,4243,0.301712,0.698288,republican,0.6983,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
107,Oregon,1420,0.330482,0.669518,republican,0.6695,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
108,Oregon,3862,0.215056,0.784944,republican,0.7849,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
109,Oregon,2293,0.255304,0.744696,republican,0.7447,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
110,Oregon,970,0.194438,0.805562,republican,0.8056,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
111,Oregon,3455,0.395765,0.604235,republican,0.6042,0.990573,0.009427,democratic,0.9906,0.794308,0.205692,democratic,0.7943,0.784183,0.215817,democratic,0.7842
112,Oregon,4237,0.345596,0.654404,republican,0.6544,0.939287,0.060713,democratic,0.9393,0.552552,0.447448,democratic,0.5526,0.794961,0.205039,democratic,0.795
113,Oregon,2086,0.294413,0.705587,republican,0.7056,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
114,Oregon,212,0.224233,0.775767,republican,0.7758,0.939287,0.060713,democratic,0.9393,0.661356,0.338644,democratic,0.6614,0.577447,0.422553,democratic,0.5774
115,Oregon,751,0.313401,0.686599,republican,0.6866,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.366082,0.633918,republican,0.6339
116,Oregon,453,0.420707,0.579293,republican,0.5793,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
117,Oregon,2569,0.362674,0.637326,republican,0.6373,0.939287,0.060713,democratic,0.9393,0.653928,0.346072,democratic,0.6539,0.935421,0.064579,democratic,0.9354
118,Oregon,1239,0.312262,0.687738,republican,0.6877,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
119,Oregon,1116,0.342282,0.657718,republican,0.6577,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
120,Oregon,2083,0.398697,0.601303,republican,0.6013,1.0,0.0,democratic,1.0,0.719204,0.280796,democratic,0.7192,1.0,0.0,democratic,1.0
121,Oregon,1689,0.571904,0.428096,democratic,0.5719,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
122,Oregon,2423,0.432395,0.567605,republican,0.5676,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
123,Oregon,4283,0.448462,0.551538,republican,0.5515,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0,0.985674,0.014326,democratic,0.9857
124,Oregon,1258,0.577618,0.422382,democratic,0.5776,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
125,Oregon,3920,0.680686,0.319314,democratic,0.6807,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
126,Oregon,4306,0.602657,0.397343,democratic,0.6027,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
127,Oregon,3642,0.561965,0.438035,democratic,0.562,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
128,Oregon,4754,0.503123,0.496877,democratic,0.5031,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
129,Oregon,2898,0.415893,0.584107,republican,0.5841,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.495326,0.504674,republican,0.5047
130,Oregon,953,0.368953,0.631047,republican,0.631,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
131,Oregon,2244,0.297382,0.702618,republican,0.7026,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
132,Oregon,2070,0.362426,0.637574,republican,0.6376,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
133,Oregon,154,0.311718,0.688282,republican,0.6883,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.129746,0.870254,republican,0.8703
134,Oregon,5535,0.314053,0.685947,republican,0.6859,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
135,Oregon,1473,0.242986,0.757014,republican,0.757,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
136,Oregon,2122,0.300297,0.699703,republican,0.6997,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
137,Oregon,2078,0.209087,0.790913,republican,0.7909,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
138,Oregon,2280,0.248108,0.751892,republican,0.7519,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
139,Oregon,4927,0.485556,0.514444,republican,0.5144,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
140,Oregon,3888,0.431292,0.568708,republican,0.5687,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.248011,0.751989,republican,0.752
141,Oregon,6559,0.412283,0.587717,republican,0.5877,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.004579,0.995421,republican,0.9954
142,Oregon,2287,0.394915,0.605085,republican,0.6051,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.407632,0.592368,republican,0.5924
143,Oregon,2841,0.384941,0.615059,republican,0.6151,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.335449,0.664551,republican,0.6646
144,Oregon,2314,0.455399,0.544601,republican,0.5446,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,0.799504,0.200496,democratic,0.7995
145,Oregon,3716,0.487895,0.512105,republican,0.5121,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
146,Oregon,572,0.525497,0.474503,democratic,0.5255,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
147,Oregon,264,0.472466,0.527534,republican,0.5275,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,0.837265,0.162735,democratic,0.8373
148,Oregon,2373,0.630168,0.369832,democratic,0.6302,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
149,Oregon,4180,0.687925,0.312075,democratic,0.6879,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
150,Oregon,914,0.498465,0.501535,republican,0.5015,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
151,Oregon,5340,0.636162,0.363838,democratic,0.6362,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
152,Oregon,1295,0.444637,0.555363,republican,0.5554,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
153,Oregon,1452,0.335901,0.664099,republican,0.6641,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
154,Oregon,1807,0.620798,0.379202,democratic,0.6208,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
155,Oregon,1256,0.508034,0.491966,democratic,0.508,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
